Posição;Código IBGE;Município;Unidade federativa;População
1282º;4125704;São Miguel do Iguaçu; Paraná;27 576
1283º;2615805;Tupanatinga; Pernambuco;27 551
1284º;3514106;Dois Córregos; São Paulo;27 512
1285º;2302701;Campos Sales; Ceará;27 470
1286º;2308302;Milagres; Ceará;27 462
1287º;3538600;Piracaia; São Paulo;27 462
1288º;3136652;Juatuba; Minas Gerais;27 392
1289º;1100809;Candeias do Jamari; Rondônia;27 388
1290º;3521804;Itaí; São Paulo;27 382
1291º;3546702;Santa Gertrudes; São Paulo;27 381
1292º;2701001;Boca da Mata; Alagoas;27 356
1293º;3204104;Pinheiros; Espírito Santo;27 327
1294º;4114302;Mandirituba; Paraná;27 315
1295º;2919157;Lapão; Bahia;27 274
1296º;2105104;Icatu; Maranhão;27 269
1297º;2932309;Ubatã; Bahia;27 263
1298º;2707305;Porto Calvo; Alagoas;27 249
1299º;5007695;São Gabriel do Oeste; Mato Grosso do Sul;27 221
1300º;4205456;Forquilhinha; Santa Catarina;27 211
1301º;2307106;Jardim; Ceará;27 181
1302º;5210109;Ipameri; Goiás;27 174
1303º;3303005;Miracema; Rio de Janeiro;27 154
1304º;2611309;Pombos; Pernambuco;27 148
1305º;4216503;São Joaquim; Santa Catarina;27 139
1306º;4322707;Vera Cruz; Rio Grande do Sul;27 099
1307º;2913200;Ibotirama; Bahia;27 003
1308º;2922904;Nova Soure; Bahia;26 998
1309º;3106309;Belo Oriente; Minas Gerais;26 994
1310º;2100709;Anajatuba; Maranhão;26 988
1311º;2303204;Caririaçu; Ceará;26 987
1312º;1507706;São Sebastião da Boa Vista; Pará;26 974
1313º;2922102;Mundo Novo; Bahia;26 970
1314º;2913507;Iguaí; Bahia;26 963
1315º;3144003;Mutum; Minas Gerais;26 961
1316º;2201507;Batalha; Piauí;26 905
1317º;2607752;Itapissuma; Pernambuco;26 900
1318º;2800670;Boquim; Sergipe;26 899
1319º;2612406;Sanharó; Pernambuco;26 890
1320º;4321303;Taquari; Rio Grande do Sul;26 885
1321º;3144607;Nepomuceno; Minas Gerais;26 826
1322º;4121703;Reserva; Paraná;26 825
1323º;3556305;Valparaíso; São Paulo;26 822
1324º;2804607;Nossa Senhora das Dores; Sergipe;26 795
1325º;3520442;Ilha Solteira; São Paulo;26 788
1326º;4123501;Santa Helena; Paraná;26 767
1327º;2100303;Aldeias Altas; Maranhão;26 757
1328º;3547601;Santa Rosa de Viterbo; São Paulo;26 753
1329º;2202901;Corrente; Piauí;26 709
1330º;2928208;Santana; Bahia;26 705
1331º;1200104;Brasiléia; Acre;26 702
1332º;5107875;Sapezal; Mato Grosso;26 688
1333º;2607604;Ilha de Itamaracá; Pernambuco;26 672
1334º;2404200;Goianinha; Rio Grande do Norte;26 669
1335º;3529203;Martinópolis; São Paulo;26 628
1336º;3118809;Coração de Jesus; Minas Gerais;26 611
1337º;2604601;Condado; Pernambuco;26 590
1338º;2301208;Aracoiaba; Ceará;26 535
1339º;4322806;Veranópolis; Rio Grande do Sul;26 533
1340º;4311007;Jaguarão; Rio Grande do Sul;26 500
1341º;5108600;Vila Rica; Mato Grosso;26 496
1342º;2610202;Panelas; Pernambuco;26 456
1343º;3162906;São João Nepomuceno; Minas Gerais;26 447
1344º;2925006;Planalto; Bahia;26 426
1345º;3202454;Ibatiba; Espírito Santo;26 426
1346º;3509403;Cajuru; São Paulo;26 393
1347º;3204054;Pedro Canário; Espírito Santo;26 381
1348º;3156908;Sacramento; Minas Gerais;26 374
1349º;3126703;Francisco Sá; Minas Gerais;26 369
1350º;2906204;Canarana; Bahia;26 325
1351º;2907301;Castro Alves; Bahia;26 318
1352º;2607505;Itaíba; Pernambuco;26 308
1353º;2304954;Guaiúba; Ceará;26 290
1354º;3134905;Jacutinga; Minas Gerais;26 264
1355º;5005004;Jardim; Mato Grosso do Sul;26 238
1356º;2516003;Solânea; Paraíba;26 227
1357º;2313203;Tamboril; Ceará;26 225
1358º;4102109;Astorga; Paraná;26 209
1359º;5100201;Água Boa; Mato Grosso;26 204
1360º;2305605;Independência; Ceará;26 187
1361º;1100940;Cujubim; Rondônia;26 183
1362º;2611507;Quipapá; Pernambuco;26 175
1363º;1709302;Guaraí; Tocantins;26 165
1364º;4210506;Maravilha; Santa Catarina;26 116
1365º;3203403;Mimoso do Sul; Espírito Santo;26 115
1366º;1503077;Garrafão do Norte; Pará;26 111
1367º;2614808;Tacaratu; Pernambuco;26 106
1368º;3553401;Tanabi; São Paulo;26 101
1369º;5001003;Aparecida do Taboado; Mato Grosso do Sul;26 069
1370º;2105427;Itinga do Maranhão; Maranhão;26 068
1371º;1303304;Novo Aripuanã; Amazonas;26 046
1372º;2908606;Conde; Bahia;26 035
1373º;2111102;São João dos Patos; Maranhão;25 996
1374º;3507100;Bom Jesus dos Perdões; São Paulo;25 985
1375º;4309407;Guaporé; Rio Grande do Sul;25 968
1376º;4306908;Encruzilhada do Sul; Rio Grande do Sul;25 960
1377º;4319505;São Sebastião do Caí; Rio Grande do Sul;25 959
1378º;2921203;Miguel Calmon; Bahia;25 894
1379º;2112456;Turilândia; Maranhão;25 868
1380º;1303601;Santa Isabel do Rio Negro; Amazonas;25 865
1381º;5002951;Chapadão do Sul; Mato Grosso do Sul;25 865
1382º;2911105;Formosa do Rio Preto; Bahia;25 857
1383º;2608750;Lagoa Grande; Pernambuco;25 849
1384º;2309458;Ocara; Ceará;25 833
1385º;1505031;Novo Progresso; Pará;25 766
1386º;2110104;Santa Quitéria do Maranhão; Maranhão;25 764
1387º;1507151;São Domingos do Araguaia; Pará;25 753
1388º;3205069;Venda Nova do Imigrante; Espírito Santo;25 745
1389º;3538907;Pirajuí; São Paulo;25 719
1390º;2709400;Viçosa; Alagoas;25 693
1391º;5211206;Itapuranga; Goiás;25 681
1392º;3537404;Pereira Barreto; São Paulo;25 677
1393º;3113206;Carandaí; Minas Gerais;25 669
1394º;5203500;Bom Jesus de Goiás; Goiás;25 648
1395º;4119400;Piraí do Sul; Paraná;25 617
1396º;2703106;Igaci; Alagoas;25 613
1397º;2303808;Cedro; Ceará;25 585
1398º;3302908;Miguel Pereira; Rio de Janeiro;25 581
1399º;1507904;Soure; Pará;25 565
1400º;3162005;São Gonçalo do Sapucaí; Minas Gerais;25 561
1401º;2807600;Umbaúba; Sergipe;25 550
1402º;2104677;Governador Nunes Freire; Maranhão;25 539
1403º;2205805;Luzilândia; Piauí;25 504
1404º;3502200;Angatuba; São Paulo;25 479
1405º;2914406;Iraquara; Bahia;25 478
1406º;3135803;Jequitinhonha; Minas Gerais;25 474
1407º;2609006;Macaparana; Pernambuco;25 472
1408º;4103602;Cambará; Paraná;25 466
1409º;2312700;Senador Pompeu; Ceará;25 456
1410º;2925808;Queimadas; Bahia;25 433
1411º;4304663;Capão do Leão; Rio Grande do Sul;25 409
1412º;2918357;João Dourado; Bahia;25 402
1413º;3169604;Tupaciguara; Minas Gerais;25 398
1414º;2201903;Bom Jesus; Piauí;25 387
1415º;3531407;Monte Aprazível; São Paulo;25 373
1416º;2110039;Santa Luzia do Paruá; Maranhão;25 371
1417º;3303955;Pinheiral; Rio de Janeiro;25 364
1418º;3129509;Ibiá; Minas Gerais;25 358
1419º;4208500;Ituporanga; Santa Catarina;25 355
1420º;2108256;Pedro do Rosário; Maranhão;25 354
1421º;3507803;Brodowski; São Paulo;25 277
1422º;5000708;Anastácio; Mato Grosso do Sul;25 237
1423º;2705002;Mata Grande; Alagoas;25 207
1424º;2707107;Piranhas; Alagoas;25 183
1425º;4203956;Capivari de Baixo; Santa Catarina;25 177
1426º;5004502;Itaporã; Mato Grosso do Sul;25 162
1427º;3101102;Aimorés; Minas Gerais;25 141
1428º;3540754;Potim; São Paulo;25 130
1429º;3304151;Quissamã; Rio de Janeiro;25 126
1430º;3124203;Espera Feliz; Minas Gerais;25 122
1431º;3162401;São João da Ponte; Minas Gerais;25 098
1432º;2305308;Ibiapina; Ceará;25 082
1433º;2600302;Agrestina; Pernambuco;25 065
1434º;5217302;Pirenópolis; Goiás;25 064
1435º;2906709;Cândido Sales; Bahia;25 053
1436º;2901106;Amélia Rodrigues; Bahia;25 048
1437º;3109303;Buritis; Minas Gerais;25 013
1438º;2504603;Conde; Paraíba;25 010
1439º;3501301;Álvares Machado; São Paulo;24 998
1440º;1506609;Santa Maria do Pará; Pará;24 995
1441º;2304251;Cruz; Ceará;24 977
1442º;5007109;Ribas do Rio Pardo; Mato Grosso do Sul;24 966
1443º;2924801;Piritiba; Bahia;24 964
1444º;2307403;Jucás; Ceará;24 892
1445º;2507002;Itaporanga; Paraíba;24 828
1446º;3512407;Cordeirópolis; São Paulo;24 826
1447º;2603702;Canhotinho; Pernambuco;24 773
1448º;4320107;Sarandi; Rio Grande do Sul;24 763
1449º;3520004;Igaraçu do Tietê; São Paulo;24 749
1450º;5002100;Bela Vista; Mato Grosso do Sul;24 735
1451º;2704005;Junqueiro; Alagoas;24 722
1452º;1507458;São Geraldo do Araguaia; Pará;24 705
1453º;3147402;Paraopeba; Minas Gerais;24 700
1454º;4310801;Ivoti; Rio Grande do Sul;24 690
1455º;3507902;Brotas; São Paulo;24 636
1456º;2705101;Matriz de Camaragibe; Alagoas;24 634
1457º;3521408;Iracemápolis; São Paulo;24 614
1458º;2301703;Aurora; Ceará;24 610
1459º;2703205;Igreja Nova; Alagoas;24 586
1460º;4320909;Tapejara; Rio Grande do Sul;24 552
1461º;5217104;Piracanjuba; Goiás;24 548
1462º;2304350;Forquilha; Ceará;24 452
1463º;2506905;Itabaiana; Paraíba;24 419
1464º;4318408;São Jerônimo; Rio Grande do Sul;24 412
1465º;4206306;Guabiruba; Santa Catarina;24 382
1466º;2706406;Pão de Açúcar; Alagoas;24 351
1467º;3148707;Pedra Azul; Minas Gerais;24 329
1468º;2702355;Craíbas; Alagoas;24 309
1469º;2306108;Irauçuba; Ceará;24 305
1470º;4216909;São Lourenço do Oeste; Santa Catarina;24 291
1471º;2411502;Santo Antônio; Rio Grande do Norte;24 280
1472º;3502705;Apiaí; São Paulo;24 226
1473º;2512903;Rio Tinto; Paraíba;24 218
1474º;2605004;Cupira; Pernambuco;24 173
1475º;2102804;Carolina; Maranhão;24 165
1476º;4105904;Colorado; Paraná;24 145
1477º;3162955;São José da Lapa; Minas Gerais;24 135
1478º;2911907;Iaçu; Bahia;24 121
1479º;2932002;Uauá; Bahia;24 113
1480º;2109007;Porto Franco; Maranhão;24 092
1481º;2703809;Joaquim Gomes; Alagoas;24 081
1482º;3130903;Inhapim; Minas Gerais;24 079
1483º;1506302;Salvaterra; Pará;24 075
1484º;4322202;Tupanciretã; Rio Grande do Sul;24 068
1485º;1502004;Cachoeira do Arari; Pará;24 064
1486º;2918803;Laje; Bahia;24 032
1487º;3143401;Monte Sião; Minas Gerais;24 029
1488º;2708303;São José da Laje; Alagoas;23 996
1489º;2102903;Carutapera; Maranhão;23 952
1490º;1502509;Chaves; Pará;23 948
1491º;2102309;Buriti Bravo; Maranhão;23 939
1492º;2609709;Orobó; Pernambuco;23 935
1493º;4120804;Quatro Barras; Paraná;23 911
1494º;3105103;Bambuí; Minas Gerais;23 898
1495º;4321808;Três de Maio; Rio Grande do Sul;23 876
1496º;2805505;Poço Verde; Sergipe;23 867
1497º;4321907;Três Passos; Rio Grande do Sul;23 852
1498º;4104659;Carambeí; Paraná;23 825
1499º;3113008;Caraí; Minas Gerais;23 780
1500º;4212809;Balneário Piçarras; Santa Catarina;23 772
1501º;2105500;João Lisboa; Maranhão;23 740
1502º;3204609;Santa Teresa; Espírito Santo;23 724
1503º;3154002;Raul Soares; Minas Gerais;23 711
1504º;3162708;São João do Paraíso; Minas Gerais;23 709
1505º;4124053;Santa Terezinha de Itaipu; Paraná;23 699
1506º;5005202;Ladário; Mato Grosso do Sul;23 689
1507º;3119104;Corinto; Minas Gerais;23 668
1508º;2412500;São Miguel; Rio Grande do Norte;23 655
1509º;2607000;Inajá; Pernambuco;23 645
1510º;2611903;Rio Formoso; Pernambuco;23 628
1511º;2614857;Tamandaré; Pernambuco;23 623
1512º;1304401;Urucurituba; Amazonas;23 585
1513º;4205704;Garopaba; Santa Catarina;23 579
1514º;4215703;Santo Amaro da Imperatriz; Santa Catarina;23 579
1515º;4319604;São Sepé; Rio Grande do Sul;23 555
1516º;2512309;Princesa Isabel; Paraíba;23 549
1517º;3548005;Santo Antônio de Posse; São Paulo;23 529
1518º;2106508;Matinha; Maranhão;23 482
1519º;2301604;Assaré; Ceará;23 478
1520º;2903409;Belmonte; Bahia;23 437
1521º;5210901;Itapaci; Goiás;23 421
1522º;2912707;Ibirapitanga; Bahia;23 404
1523º;3301405;Conceição de Macabu; Rio de Janeiro;23 398
1524º;2103802;Dom Pedro; Maranhão;23 372
1525º;2108454;Peritoró; Maranhão;23 364
1526º;5001904;Bataguassu; Mato Grosso do Sul;23 325
1527º;3204005;Pancas; Espírito Santo;23 306
1528º;2905008;Caculé; Bahia;23 291
1529º;3554300;Teodoro Sampaio; São Paulo;23 273
1530º;4310330;Imbé; Rio Grande do Sul;23 271
1531º;3553807;Taquarituba; São Paulo;23 256
1532º;3100203;Abaeté; Minas Gerais;23 250
1533º;1507474;São João de Pirabas; Pará;23 244
1534º;4113502;Loanda; Paraná;23 242
1535º;2304004;Coreaú; Ceará;23 239
1536º;1200450;Senador Guiomard; Acre;23 236
1537º;2930774;Sobradinho; Bahia;23 233
1538º;3553302;Tambaú; São Paulo;23 232
1539º;5004700;Ivinhema; Mato Grosso do Sul;23 232
1540º;3302106;Itaocara; Rio de Janeiro;23 222
1541º;3132701;Itambacuri; Minas Gerais;23 209
1542º;4114104;Mandaguaçu; Paraná;23 100
1543º;1100320;São Miguel do Guaporé; Rondônia;23 077
1544º;4211702;Orleans; Santa Catarina;23 038
1545º;4203907;Capinzal; Santa Catarina;23 035
1546º;2600807;Altinho; Pernambuco;22 984
1547º;3118403;Conselheiro Pena; Minas Gerais;22 949
1548º;2613206;São João; Pernambuco;22 899
1549º;4306809;Encantado; Rio Grande do Sul;22 880
1550º;2600906;Amaraji; Pernambuco;22 870
1551º;5106307;Paranatinga; Mato Grosso;22 861
1552º;3502754;Araçariguama; São Paulo;22 860
1553º;1721208;Tocantinópolis; Tocantins;22 845
1554º;3202108;Ecoporanga; Espírito Santo;22 835
1555º;3139508;Manhumirim; Minas Gerais;22 802
1556º;2303006;Caridade; Ceará;22 782
1557º;2908200;Conceição da Feira; Bahia;22 762
1558º;2302008;Barro; Ceará;22 758
1559º;2915809;Itambé; Bahia;22 754
1560º;1100015;Alta Floresta d'Oeste; Rondônia;22 728
1561º;2921104;Medeiros Neto; Bahia;22 716
1562º;4206702;Herval d'Oeste; Santa Catarina;22 714
1563º;5101407;Aripuanã; Mato Grosso;22 714
1564º;3114204;Carmo do Cajuru; Minas Gerais;22 693
1565º;2308906;Morrinhos; Ceará;22 685
1566º;2610806;Pedra; Pernambuco;22 668
1567º;2501104;Areia; Paraíba;22 656
1568º;2925956;Rafael Jambeiro; Bahia;22 633
1569º;2605608;Flores; Pernambuco;22 618
1570º;4315305;Quaraí; Rio Grande do Sul;22 607
1571º;2407807;Monte Alegre; Rio Grande do Norte;22 576
1572º;2301950;Barreira; Ceará;22 573
1573º;2931509;Teofilândia; Bahia;22 555
1574º;5200134;Acreúna; Goiás;22 546
1575º;2908903;Coração de Maria; Bahia;22 495
1576º;2900801;Alcobaça; Bahia;22 490
1577º;1600535;Porto Grande; Amapá;22 452
1578º;5006002;Nova Alvorada do Sul; Mato Grosso do Sul;22 430
1579º;1707009;Dianópolis; Tocantins;22 424
1580º;5208905;Goiás; Goiás;22 381
1581º;1300144;Apuí; Amazonas;22 359
1582º;3529708;Miguelópolis; São Paulo;22 355
1583º;2111706;São Vicente Ferrer; Maranhão;22 350
1584º;2916104;Itaparica; Bahia;22 337
1585º;2926202;Riachão das Neves; Bahia;22 334
1586º;5205406;Ceres; Goiás;22 306
1587º;2311504;Quixeré; Ceará;22 293
1588º;1400209;Caracaraí; Roraima;22 283
1589º;2922409;Mutuípe; Bahia;22 282
1590º;3535309;Palmital; São Paulo;22 272
1591º;5008008;Terenos; Mato Grosso do Sul;22 269
1592º;2605400;Feira Nova; Pernambuco;22 247
1593º;2801405;Carira; Sergipe;22 239
1594º;5002209;Bonito; Mato Grosso do Sul;22 190
1595º;2702603;Feira Grande; Alagoas;22 178
1596º;5103502;Diamantino; Mato Grosso;22 178
1597º;4100509;Altônia; Paraná;22 176
1598º;3540002;Pompeia; São Paulo;22 172
1599º;5209705;Hidrolândia; Goiás;22 124
1600º;2102705;Cantanhede; Maranhão;22 117
1601º;2100204;Alcântara; Maranhão;22 112
1602º;2112233;Trizidela do Vale; Maranhão;22 112
1603º;2610400;Parnamirim; Pernambuco;22 106
1604º;2906907;Caravelas; Bahia;22 093
1605º;1600402;Mazagão; Amapá;22 053
1606º;3204203;Piúma; Espírito Santo;22 053
1607º;3301504;Cordeiro; Rio de Janeiro;22 041
1608º;2313807;Uruburetama; Ceará;22 040
1609º;5002902;Cassilândia; Mato Grosso do Sul;22 002
1610º;4217402;Schroeder; Santa Catarina;21 991
1611º;5201306;Anicuns; Goiás;21 981
1612º;4117305;Ortigueira; Paraná;21 960
1613º;2503001;Caaporã; Paraíba;21 955
1614º;3202207;Fundão; Espírito Santo;21 948
1615º;4213500;Porto Belo; Santa Catarina;21 932
1616º;5220207;São Miguel do Araguaia; Goiás;21 920
1617º;3305158;São José do Vale do Rio Preto; Rio de Janeiro;21 916
1618º;3527405;Lucélia; São Paulo;21 886
1619º;4313060;Nova Hartz; Rio Grande do Sul;21 875
1620º;3540903;Pradópolis; São Paulo;21 873
1621º;2509107;Mari; Paraíba;21 866
1622º;1506583;Santa Maria das Barreiras; Pará;21 850
1623º;1100403;Alto Paraíso; Rondônia;21 847
1624º;5102702;Canarana; Mato Grosso;21 842
1625º;2103174;Centro Novo do Maranhão; Maranhão;21 840
1626º;2306603;Itatira; Ceará;21 836
1627º;2702108;Colônia Leopoldina; Alagoas;21 818
1628º;2604502;Chã Grande; Pernambuco;21 815
1629º;2923209;Oliveira dos Brejinhos; Bahia;21 810
1630º;3110509;Camanducaia; Minas Gerais;21 801
1631º;4318200;São Francisco de Paula; Rio Grande do Sul;21 801
1632º;2923407;Palmas de Monte Alto; Bahia;21 796
1633º;4208104;Itaiópolis; Santa Catarina;21 780
1634º;2609154;Manari; Pernambuco;21 776
1635º;3517505;Guapiaçu; São Paulo;21 775
1636º;3305604;Silva Jardim; Rio de Janeiro;21 774
1637º;3133501;Itapecerica; Minas Gerais;21 761
1638º;2705705;Olho d'Água das Flores; Alagoas;21 738
1639º;2923605;Paramirim; Bahia;21 695
1640º;3533007;Nova Granada; São Paulo;21 689
1641º;2800209;Aquidabã; Sergipe;21 681
1642º;4319000;São Marcos; Rio Grande do Sul;21 658
1643º;2211209;Uruçuí; Piauí;21 655
1644º;2301307;Araripe; Ceará;21 654
1645º;3115508;Caxambu; Minas Gerais;21 610
1646º;2901205;Anagé; Bahia;21 607
1647º;3147204;Paraguaçu; Minas Gerais;21 605
1648º;3205036;Vargem Alta; Espírito Santo;21 591
1649º;2106326;Maracaçumé; Maranhão;21 586
1650º;2613404;São José da Coroa Grande; Pernambuco;21 586
1651º;2408904;Parelhas; Rio Grande do Norte;21 545
1652º;4313201;Nova Petrópolis; Rio Grande do Sul;21 536
1653º;3143203;Monte Santo de Minas; Minas Gerais;21 513
1654º;2904100;Boquira; Bahia;21 497
1655º;3149903;Perdões; Minas Gerais;21 485
1656º;2107704;Paraibano; Maranhão;21 479
1657º;1300102;Anori; Amazonas;21 477
1658º;2608503;Lagoa de Itaenga; Pernambuco;21 460
1659º;3513603;Cunha; São Paulo;21 459
1660º;4316006;Rolante; Rio Grande do Sul;21 453
1661º;1506351;Santa Bárbara do Pará; Pará;21 449
1662º;1504950;Nova Esperança do Piriá; Pará;21 444
1663º;1303007;Nhamundá; Amazonas;21 443
1664º;2919926;Madre de Deus; Bahia;21 432
1665º;2613305;São Joaquim do Monte; Pernambuco;21 398
1666º;2309508;Orós; Ceará;21 384
1667º;2108702;Pio XII; Maranhão;21 379
1668º;2912103;Ibicaraí; Bahia;21 378
1669º;5004601;Itaquiraí; Mato Grosso do Sul;21 376
1670º;4219002;Urussanga; Santa Catarina;21 344
1671º;2701308;Cajueiro; Alagoas;21 331
1672º;3517703;Guará; São Paulo;21 308
1673º;2101905;Bequimão; Maranhão;21 299
1674º;2904753;Buritirama; Bahia;21 276
1675º;2501500;Bananeiras; Paraíba;21 269
1676º;3114402;Carmo do Rio Claro; Minas Gerais;21 268
1677º;3511003;Castilho; São Paulo;21 267
1678º;2202307;Canto do Buriti; Piauí;21 258
1679º;2931202;Taperoá; Bahia;21 253
1680º;3515152;Engenheiro Coelho; São Paulo;21 249
1681º;4126603;Siqueira Campos; Paraná;21 249
1682º;1303700;Santo Antônio do Içá; Amazonas;21 243
1683º;3142809;Monte Alegre de Minas; Minas Gerais;21 236
1684º;4112108;Jandaia do Sul; Paraná;21 230
1685º;3147303;Paraisópolis; Minas Gerais;21 221
1686º;4208450;Itapoá; Santa Catarina;21 177
1687º;2311264;Quiterianópolis; Ceará;21 166
1688º;2909604;Crisópolis; Bahia;21 163
1689º;5003256;Costa Rica; Mato Grosso do Sul;21 142
1690º;2107357;Nova Olinda do Maranhão; Maranhão;21 080
1691º;2929107;São Felipe; Bahia;21 080
1692º;2108108;Paulo Ramos; Maranhão;21 066
1693º;3111002;Campestre; Minas Gerais;21 054
1694º;2106706;Mirador; Maranhão;21 031
1695º;3133303;Itaobim; Minas Gerais;21 029
1696º;5107305;São José do Rio Claro; Mato Grosso;21 011
1697º;5103304;Comodoro; Mato Grosso;21 008
1698º;3510302;Capela do Alto; São Paulo;20 985
1699º;5220405;São Simão; Goiás;20 985
1700º;2933505;Wenceslau Guimarães; Bahia;20 978
1701º;4301008;Arroio do Meio; Rio Grande do Sul;20 967
1702º;2616209;Vertentes; Pernambuco;20 954
1703º;3505807;Bastos; São Paulo;20 953
1704º;4302709;Butiá; Rio Grande do Sul;20 952
1705º;4106605;Cruzeiro do Oeste; Paraná;20 947
1706º;5106257;Nova Xavantina; Mato Grosso;20 944
1707º;3167103;Serro; Minas Gerais;20 940
1708º;2211308;Valença do Piauí; Piauí;20 929
1709º;2500403;Alagoa Nova; Paraíba;20 921
1710º;3523503;Itatinga; São Paulo;20 921
1711º;4128005;Ubiratã; Paraná;20 909
1712º;3137809;Lambari; Minas Gerais;20 907
1713º;3105905;Barroso; Minas Gerais;20 897
1714º;2927507;Santa Bárbara; Bahia;20 883
1715º;2303600;Catarina; Ceará;20 871
1716º;3547700;Santo Anastácio; São Paulo;20 866
1717º;3526001;Junqueirópolis; São Paulo;20 831
1718º;5220603;Silvânia; Goiás;20 816
1719º;2310852;Pindoretama; Ceará;20 769
1720º;2911600;Governador Mangabeira; Bahia;20 762
1721º;3141405;Medina; Minas Gerais;20 759
1722º;2601052;Araçoiaba; Pernambuco;20 733
1723º;2601607;Belém do São Francisco; Pernambuco;20 730
1724º;4212908;Pinhalzinho; Santa Catarina;20 712
1725º;4314605;Piratini; Rio Grande do Sul;20 704
1726º;2111003;São João Batista; Maranhão;20 701
1727º;2911808;Guaratinga; Bahia;20 700
1728º;3142908;Monte Azul; Minas Gerais;20 696
1729º;1101492;São Francisco do Guaporé; Rondônia;20 681
1730º;2210003;São João do Piauí; Piauí;20 662
1731º;2611705;Riacho das Almas; Pernambuco;20 646
1732º;3171006;Vazante; Minas Gerais;20 642
1733º;2920700;Maraú; Bahia;20 617
1734º;4127502;Tibagi; Paraná;20 607
1735º;4106506;Coronel Vivida; Paraná;20 580
1736º;5106232;Nova Olímpia; Mato Grosso;20 563
1737º;2207801;Paulistana; Piauí;20 554
1738º;3144102;Muzambinho; Minas Gerais;20 545
1739º;2402303;Caraúbas; Rio Grande do Norte;20 541
1740º;1503044;Floresta do Araguaia; Pará;20 525
1741º;2306504;Itapiúna; Ceará;20 520
1742º;5205513;Cocalzinho de Goiás; Goiás;20 504
1743º;2603108;Cachoeirinha; Pernambuco;20 501
1744º;1100148;Nova Brasilândia d'Oeste; Rondônia;20 489
1745º;2501005;Araruna; Paraíba;20 463
1746º;5200100;Abadiânia; Goiás;20 461
1747º;2902609;Baixa Grande; Bahia;20 449
1748º;3134608;Jaboticatubas; Minas Gerais;20 418
1749º;2932705;Uruçuca; Bahia;20 413
1750º;4310009;Ibirubá; Rio Grande do Sul;20 413
1751º;1300201;Atalaia do Norte; Amazonas;20 398
1752º;2915502;Itajuípe; Bahia;20 398
1753º;3535804;Paranapanema; São Paulo;20 395
1754º;3542404;Regente Feijó; São Paulo;20 394
1755º;1301506;Envira; Amazonas;20 393
1756º;2920502;Maracás; Bahia;20 393
1757º;2931004;Tanhaçu; Bahia;20 393
1758º;2902807;Barra da Estiva; Bahia;20 392
1759º;2917102;Itororó; Bahia;20 388
1760º;2900207;Abaré; Bahia;20 347
1761º;4202453;Bombinhas; Santa Catarina;20 335
1762º;2109502;Riachão; Maranhão;20 334
1763º;2505105;Cuité; Paraíba;20 334
1764º;2514503;São José de Piranhas; Paraíba;20 329
1765º;4208807;Jaguaruna; Santa Catarina;20 288
1766º;2102606;Cândido Mendes; Maranhão;20 278
1767º;2303956;Chorozinho; Ceará;20 274
1768º;5201702;Aragarças; Goiás;20 273
1769º;4124400;Santo Antônio do Sudoeste; Paraná;20 261
1770º;3146305;Padre Paraíso; Minas Gerais;20 252
1771º;5103379;Cotriguaçu; Mato Grosso;20 238
1772º;2700102;Água Branca; Alagoas;20 230
1773º;3511409;Cerqueira César; São Paulo;20 191
1774º;3301108;Cantagalo; Rio de Janeiro;20 168
1775º;5101902;Brasnorte; Mato Grosso;20 140
1776º;3169703;Turmalina; Minas Gerais;20 125
1777º;2707503;Porto Real do Colégio; Alagoas;20 112
1778º;2924603;Pindobaçu; Bahia;20 098
1779º;1300631;Beruri; Amazonas;20 093
1780º;2307254;Jijoca de Jericoacoara; Ceará;20 087
1781º;2709103;Taquarana; Alagoas;20 072
1782º;2305357;Icapuí; Ceará;20 060
1783º;2305209;Hidrolândia; Ceará;20 053
1784º;2603801;Capoeiras; Pernambuco;20 048
1785º;2106300;Magalhães de Almeida; Maranhão;20 029
1786º;2806206;Salgado; Sergipe;20 025
1787º;5204904;Campos Belos; Goiás;20 007
1788º;3131208;Ipanema; Minas Gerais;20 000
1789º;3122009;Divino; Minas Gerais;19 976
1790º;3304110;Porto Real; Rio de Janeiro;19 974
1791º;5007406;Rio Verde de Mato Grosso; Mato Grosso do Sul;19 973
1792º;3508009;Buri; São Paulo;19 965
1793º;3101904;Alpinópolis; Minas Gerais;19 958
1794º;1200385;Plácido de Castro; Acre;19 955
1795º;5218904;Rubiataba; Goiás;19 947
1796º;1303205;Novo Airão; Amazonas;19 928
1797º;4101101;Andirá; Paraná;19 926
1798º;3137700;Lajinha; Minas Gerais;19 918
1799º;2313757;Umirim; Ceará;19 903
1800º;2932101;Ubaíra; Bahia;19 877
1801º;3159803;Santa Vitória; Minas Gerais;19 872
1802º;2307635;Madalena; Ceará;19 864
1803º;2704401;Major Izidoro; Alagoas;19 864
1804º;1506559;Santa Luzia do Pará; Pará;19 843
1805º;2916807;Itarantim; Bahia;19 843
1806º;2600203;Afrânio; Pernambuco;19 810
1807º;2805802;Riachão do Dantas; Sergipe;19 809
1808º;2202000;Buriti dos Lopes; Piauí;19 807
1809º;2512705;Remígio; Paraíba;19 798
1810º;2912202;Ibicoara; Bahia;19 786
1811º;2107605;Palmeirândia; Maranhão;19 781
1812º;3111101;Campina Verde; Minas Gerais;19 752
1813º;3167608;Simonésia; Minas Gerais;19 736
1814º;2500601;Alhandra; Paraíba;19 727
